"Month","ME","RMSE","R","PBIAS","Obs_mean","NASA_mean"
1,-0.805148247978437,8.18183934994131,0.575858401234915,26.4940663083391,3.03897574123989,3.84412398921833
2,-1.02588996763754,7.22731236442324,0.615365939977499,33.8772936637705,3.02825242718447,4.05414239482201
3,-1.13962059620596,7.10857267108202,0.386417655464039,45.4734201306285,2.50612466124661,3.64574525745257
4,-2.41270833333333,10.1066707550014,0.237312973091604,61.7085614567931,3.90984375,6.32255208333333
5,-0.206151898734177,11.4962221092327,0.530197179177955,3.14336007164529,6.55832911392405,6.76448101265823
6,0.881325648414986,8.30680267041341,0.488936131607977,-18.3714294296098,4.79726224783862,3.91593659942363
7,1.41901515151515,9.03686472123485,0.43447573415598,-33.1849078443068,4.27608585858586,2.85707070707071
8,0.828375634517767,8.23218988203061,0.419617834515118,-18.4969198247672,4.47845177664975,3.65007614213198
9,-0.202207792207792,8.27864367145736,0.41169760627413,4.2771905149111,4.72758441558442,4.92979220779221
10,-0.779266862170088,12.5219340579369,0.42361864002451,9.614104400932,8.10545454545455,8.88472140762463
11,-3.18211656441718,12.6874931291347,0.454534624705703,44.0946187197144,7.21656441717791,10.3986809815951
12,-1.55551928783383,10.8852200314707,0.708209252453306,22.3897936607597,6.94744807121662,8.50296735905044
